\textbf{Loss} ,\textbf{Augm.},\(\bm{B}\),\textbf{B-Norm.},\(\bm{n_{bl}}\), \(\bm{n_{ch}}\),\(\bm{\epsilon}\),\(\bm{\epsilon}\)\textbf{-sch.},\(\bm{\lambda}\),\(\bm{p_{drop}}\),\(\bm{N}\),\textbf{DSC}
BD,DAOG,16,FALSE,4,64,0.001,,0,0,100,0.156
BD,DAOG,16,TRUE,4,64,0.001,,0,0,100,0.507
BD,DA,16,TRUE,4,64,0.001,,0,0,100,0.509
BCE,DAOG,16,TRUE,4,64,0.001,,0,0,100,0.482
DICE,DAOG,16,TRUE,4,64,0.001,,0,0,100,0.378
BD,DAOG,8,TRUE,4,64,0.001,,0,0,100,0.506
BD,DAOG,32,TRUE,4,64,0.001,,0,0,100,0.524
BD,NA,16,TRUE,4,64,0.001,,0,0,100,0.494
BD,DAOG,16,TRUE,4,64,0.001,,0,0,100,0.516
B2D,DAOG,16,TRUE,4,64,0.001,,0,0,100,0.534
BD,DAOG,16,TRUE,4,64,0.01,,0,0,100,0.506
BD,DAOG,16,TRUE,4,64,0.001,,0.01,0,100,0.4
BD,DAOG,48,TRUE,4,64,0.001,,0,0,100,0.522
BD,DAOG,24,TRUE,4,64,0.001,,0,0.1,100,0.499
B3D,DAOG,24,TRUE,4,64,0.001,,0,0,100,0.542
B1.5D,DAOG,24,TRUE,4,64,0.001,,0,0,100,0.529
B2D,DAOG,48,TRUE,4,64,0.001,,0,0,100,0.537
B2D,DAOG,24,TRUE,4,64,0.001,,0,0,100,0.531
B3D,DAOG,48,TRUE,4,64,0.001,,0,0,100,0.549
,,,,,,,,,,150,0.548
B2D,DAOG,16,TRUE,4,64,0.001,,0.001,0,100,0.453
BD,DAOG,16,TRUE,4,64,0.0001,,0,0,100,0.519
B3D,DAOG,96,TRUE,4,64,0.001,,0,0,100,0.53
B3D,DAOG,96,TRUE,4,64,0.001,,0,0,150,0.546
B3D,DAOG,24,TRUE,4,64,0.001,,0,0,100,0.549
,,,,,,,,,,150,0.54
B3D,DAOG,16,TRUE,4,64,0.001,,0,0,100,0.551
B3D,DAOG,16,TRUE,4,64,0.001,,0,0,150,0.555
B3D,DAOG,8,TRUE,4,64,0.001,,0,0,100,0.544
,,,,,,,,,,150,0.542
B3D,DAOG,48,TRUE,4,64,0.001,,0,0,150,0.537
B2D,DAOG,24,TRUE,4,32,0.001,,0,0,100,0.543
B2D,DAOG,24,TRUE,4,16,0.001,,0,0,100,0.538
B2D,DAOG,24,TRUE,3,64,0.001,,0,0,100,0.47
B2D,DAOG,24,TRUE,4,32,0.001,,0,0,100,0.548
,,,,,,,,,,150,0.552
B3D,DAOG,24,TRUE,4,64,0.001,,0,0,100,0.547
,,,,,,,,,,150,0.559
B2D,DAOG,24,TRUE,4,8,0.001,,0,0,100,0.543
,,,,,,,,,,150,0.542
B4D,DAOG,24,TRUE,4,64,0.001,,0,0,100,0.535
,,,,,,,,,,150,0.548
,,,,,,,,,,200,0.554
B3D,DAOG,24,TRUE,4,64,0.01,10,0,0,100,0.551
,,,,,,,,,,150,0.566
,,,,,,,,,,200,0.567
B4D,DAOG,24,TRUE,4,64,0.01,10,0,0,100,0.565
,,,,,,,,,,150,0.566
,,,,,,,,,,200,0.566
B3D,DAOG,24,TRUE,4,64,0.001,5,0,0,100,
,,,,,,,,,,150,
,,,,,,,,,,200,
